material,sub_material,bin,instructions
Batteries,emergency position indicating radio beacon (epirb),dropoff,"Battery World have a battery recycling program that will accept EPIRBs for recycling. For more information, visit their website. Every year, thousands of dollars are spent in Australia searching for emergency beacons that have been inadvertently set off in landfill. Always dispose of your beacon responsibly and notify the Australia Maritime Safety Authorityonce it is no longer in your possession."
Batteries,mobile phones,dropoff,"Mobile phones are classified as e-waste and cannot be placed in any kerbside collection bins. Drop-off old mobile phones, batteries and accessories at mobile phone dealers participating in MobileMuster. Find your nearest MobileMuster drop off outlet. It is good practice to factory reset your phone in the settings and remove the sim card to protect your information."
Batteries,nbn batteries,dropoff,NBN lead acid backup batteries and can be dropped off for free at the Geelong Resource Recovery Centre.
Cardboard,binders,red,Place in the rubbish bin.
Cardboard,bread tags,yellow,"Cardboardbread tags should be placed in your yellow lid kerbside recycling bin. As they are so small, it is best if you place them inside a larger paper item such as an envelope or paper bag first. Plastic bread tags should be placed in your red lid kerbside rubbish bin or dropped off at one of the below locations for recycling: - Urban Upcycle in Geelong - Bakers Delight in Geelong West - Surf Coast Hearing Clinic in Torquay - Bakers Delight in Belmont Aussie Bread Tags for Wheelchairs recycle plastic bread tags to raise funds to provide wheelchairs to those in need."
Cardboard,cardboard boxes,yellow,"Cardboard boxes can be placed in your yellow lid recyclingbin.  Paper and cardboard - (excluding any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons) can be dropped off at the Geelong or Drysdale Resource Recovery Centres for free."
Cardboard,cardboard packaging,yellow,"Cardboard packaging can be placed in your yellow lid recycling bin.    Paper and cardboard - (excluding any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons) can be dropped off at the Geelong or Drysdale Resource Recovery Centres for free."
Cardboard,cereal boxes,yellow,Cereal boxes can be placed in your yellow lid recycling bin.
Cardboard,egg cartons,yellow,"Egg cartons can be placed in your yellow lid recycling bin. Paper and cardboard - (excluding any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons) can be dropped off at the Geelong or Drysdale Resource Recovery Centres for free."
Cardboard,greeting cards,yellow,"Place in youryellow lid recycling bin. Paper and cardboard - (excluding any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons) can be dropped off at the Geelong or Drysdale Resource Recovery Centres for free."
Cardboard,juice carton,red,"Place in your kerbside rubbish bin.  Any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons cannot be recycled in your kerbside recycling bin. There is no facility in Australia that can separate the different components."
Cardboard,kitty litter,red,"Place any kitty litter, clean or dirty, in your red lid rubbish bin."
Cardboard,laundry powder box,yellow,"Empty laundry powder boxes can be placed in your yellow lid recycling bin. Paper and cardboard - (excluding any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons) can be dropped off at the Geelong or Drysdale Resource Recovery Centres for free."
Cardboard,long life containers,red,"Place in your kerbside rubbish bin. Any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons cannot be recycled in your kerbside recycling bin.   There is no facility in Australia that can separate the different components."
Cardboard,milk carton,red,"Place in yourrubbish bin. Any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons cannot be recycled in your kerbside recycling bin.   There is no facility in Australia that can separate the different components."
Cardboard,pizza box,yellow,Separate the bottom from the top. Place the topof the pizza box in the recycling bin. Place the greasy bottom in the rubbish bin.
Cardboard,tissue box,yellow,"Place in your yellow lid kerbside recycling bin. If present, remove the plastic insert first. Many tissue manufacturers are phasing out the plastic insert completely."
Cardboard,toilet paper rolls,yellow,"Toilet paper rolls can beplaced in your yellow-lid recycling bin. Paper  and cardboard - (excluding any cardboard container designed to hold liquids such as coffee cups, milk or juice cartons)  can be dropped off at the Geelong or Drysdale Resource Recovery Centres for free."
Cardboard,waxed  boxes,red,Place in the household garbage bin.
Cardboard,waxed ice cream containers,red,Place in the rubbish bin. There is no facility in Australia that can separate the different components.
Cardboard,wine casks,yellow,Place the cardboard packaging into the yellow lid recycling bin. Place theplastic skin in the kerbside rubbish bin.
Ceramics,ceramics,dropoff,"Broken bric-a-brac and ceramic can't be recycled in your yellow lid recycling bin. Place in your rubbish bin for disposal. Ceramics, vases, mirrors, heat-proof cooking glass, drinking glass and china cannot be recycled because they heat at a different rate to regular glass bottles and jars. This causes them to weaken recycled glass and can contaminate a whole load of sorted glass, even in small amounts."
Ceramics,crockery,dropoff,"Place in the rubbish bin. These items can not be recycled through your yellow lid recycling bin. Ceramics, vases, mirrors, heat-proof cooking glass, drinking glass and china cannot be recycled because they heat at a different rate to regular glass bottles and jars. This causes them to weaken recycled glass and can contaminate a whole load of sorted glass, even in small amounts."
Ceramics,energy saving lights,dropoff,Energy saving lights and other compact fluorescent lights (CFLs) and tubes contain a small amount of mercury. They cannot be placed in your household recycling bin. To recycle these lights drop them off at the Geelong Resource Recovery Centre. This is a free service and is part of the City's recycling program.
Ceramics,pyrex ovenware,dropoff,"Put in the rubbish bin. Ceramics, vases, mirrors, heat-proof cooking glass, drinking glass and china cannot be recycled because they heat at a different rate to regular glass bottles and jars. This causes them to weaken recycled glass and can contaminate a whole load of sorted glass, even in small amounts."
Chemicals,acids,dropoff,Can be dropped off for free at a Detox your Home event.  Detox your Home events usually occur once or twice a year in Geelong. To get advance notice subscribe to the Rethink Your Rubbish monthly update.  For a list of upcoming events visit Sustainability Victoria.
Chemicals,anti-freeze,dropoff,"Can be dropped off for free at a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update For a list of upcoming Detox Your Home events, visit Sustainability Victoria."
Chemicals,asbestos,dropoff,Drysdale Landfill accepts small domestic quantities (no larger than 6 x 4 trailer) of asbestos. Conditions of disposal: Plastic or steam pipes should be placed under the load to so that it can slide off the trailer. Material needs to be:  Double wrapped in black builders plastic. Double taped with grey duct tape.  Depositor must be able to remove wrapped material without breaking. Contact the Drysdale Landfill office to make the appointment one hour before arrival. Material can not be accepted after 3:00pm.
Chemicals,bbq bottles,dropoff,"Drop off barbecue gas bottles (up to 9kg) for free at the Geelong or Drysdale Resource Recovery Centres. Safe Storage of Your Gas Bottle: It is best to store gas bottles outdoors in a well ventilated space. Gas bottles should never be stored indoors. Gas bottles should always be stored upright. Do not store gas bottles near an ignition source. If you store your BBQ or patio heater indoors, when not in use, you should always detach the gas bottle first and store it separately outdoors."
Chemicals,brake-fluid,dropoff,Can be dropped off for freeat a Detox your Home event.  Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming events visit Sustainability Victoria
Chemicals,car body filler,dropoff,Can be dropped off for free at a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming locations visit Sustainability Victoria
Chemicals,car wax,dropoff,Can be dropped off for free at a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update. For a list of upcoming locations visit Sustainability Victoria
Chemicals,cleaners - ammonia based,dropoff,Can be dropped off for free at a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming locations visit Sustainability Victoria
Chemicals,coolant,dropoff,Can be dropped off for free at a Detox your Home event.    Detox your Home events usually occur once or twice a year in Geelong. To get advance notice subscribe to theRethink Your Rubbishmonthly update. For a list of upcoming locations visit Sustainability Victoria
Chemicals,disinfectants,dropoff,Can be dropped off for free at a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming locations visit Sustainability Victoria
Chemicals,drain cleaner,dropoff,Can be dropped off for free at a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming locations visit Sustainability Victoria
Chemicals,e cigarettes (vapes),dropoff,"E cigarettes (vapes) must not be placed in any of your kerbside bins. If the battery can be removed safely it can be taken to one of many local battery drop off points. Hold onto vapes that cannot have the battery removed, or vapes that have had it removed, and check back on this page soon for updates on what to do with them.  Despite being a relatively new product, vapes are now one of the leading causes of truck, tip and recycling fires in Australia. Vapes are classified as e waste and cannot be placed in any kerbside recycling bin in Victoria. You can receive email updates on how to safely dispose of vapes, as well as other recycling tips by subscribing to Rethink Your Rubbish."
Chemicals,fertiliser,dropoff,Can be dropped off for freeat a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming locations visit Sustainability Victoria
Chemicals,fire extinguishers,dropoff,Domestic quantities can be dropped off for free at a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming locations visit Sustainability Victoria
Chemicals,flares,dropoff,Expired out of date flares can be disposed of at selected police stations and Battery World stores. Under no circumstances should flares be placed in any of the kerbside bins. In the past they have caused fires in the collection truck. Contact your local police stationbefore you visit to make sure they accept them.
Chemicals,floor-care products,dropoff,Can be dropped off for free at a Detox your Home event.   The next Detox your Home event in the Geelong region will be in March 2023. Details to come.  To get advance notice subscribe to theRethink Your Rubbishmonthly update  For a list of upcoming locations visit Sustainability Victoria
Chemicals,fluorescent tubes and cfl globes,dropoff,Drop off fluorescent tubes for free at Geelong Resource Recovery Centre in Douro St North Geelong or the Drysdale Resource Recovery Centre. Drop off compact fluorescent lights (CFLs) at Geelong Resource Recovery Centre. To dispose of incandescent globes-wrap them in paper and placed in your household rubbish bin. Recycled fluorescent lights go on to be part of many different products: Aluminium from the tube ends is separated and recycled into new aluminium products such as drink cans. Glass is recycled into glass wool for home insulation batts. The mercury is distilled from the powders then re-used in the manufacture of dental amalgam. Phosphor powder is used to manufacture agricultural fertilizer.
Chemicals,fuels,dropoff,Can be dropped off for free at a Detox your Home event.    Detox your Home events usually occur once or twice a year in Geelong. To get advance notice subscribe to theRethink Your Rubbishmonthly update. For a list of upcoming locations visit Sustainability Victoria
Chemicals,gas bottles,dropoff,"Drop off barbecue gas bottles (up to 9 Kg) for free at the Geelong or Drysdale Resource Recovery Centres. Safe Storage of Your Gas Bottle: It is best to store gas bottles outdoors in a well ventilated space. Gas bottles should never be stored indoors. Gas bottles should always be stored upright. Do not store gas bottles near an ignition source. If you store your BBQ or patio heater indoors, when not in use, you should always detach the gas bottle first and store it separately outdoors."
Chemicals,glues -water based & solvents,dropoff,Can be dropped off for free at a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming locations visit Sustainability Victoria
Chemicals,hazardous waste,dropoff,"Hazardous wastes are wastes or products that have the potential to harm humans or the environment, including batteries, electronic waste and old cleaning chemicals and fertilisers. Never put hazardous waste in your home bins. Most household hazardous wastes can be dropped off for free at our Resource Recovery Centres, or through the Detox Your Home program. Hazardous waste from businesses often requires a fee for disposal. See a list of items and how to dispose of them below.  Batteries Electronic waste or e-waste Household chemicals, solvents and fertilisers Paint, fluorescent light globes, cooking and motor oils can be dropped off free at the Drysdale or Geelong Resource Recovery Centres"
Chemicals,herbicides,dropoff,Can be dropped off for free at a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming locations visit Sustainability Victoria
Chemicals,light globes,red,Incandescent globes should be wrapped in paper and placed in your household rubbish bin. Energy saving lights and other compact fluorescent lights (CFLs) and tubes contain a small amount of mercury. They can not be placed in your household recycling bin. To recycle these lights - dropped them off at the Geelong Resource Recovery Centre. This is a free service and is part of the City's recycling program.
Chemicals,motor oil,dropoff,Drop off motor oil  for free at the Geelong or Drysdale Resource Recovery Centres. Check the websites before visiting for volume and storage guidelines. Used oil can be cleaned of contaminants and can be recycled again and again. There are many uses for recycled oil. Read more about the uses for recycled oil.
Chemicals,nail polish & remover,dropoff,Can be dropped off for free at a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming locations visit Sustainability Victoria
Chemicals,negatives,red,Place in the rubbish bin.
Chemicals,oven cleaner,dropoff,Can be dropped off for free at a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming locations visit Sustainability Victoria
Chemicals,paint,dropoff,"Residents can drop off domestic quantities of paint - up to 100 litres in one transaction for free at the Geelong or Drysdale Resource Recovery Centres. Paint should not be put in your red landfill or yellow recycling bins. Paint is 100% recyclable through Paintback, and can either be turned into new paint or used in cement manufacturing. Paints eligible for recycling through Paintback include:  water and oil-based paints (interior and exterior)     deck coatings floor paints primers and undercoats shellacs and stains undercoats sealers (including urethane) varnishes wood coatings (containing no pesticides) and empty paint tins.  Empty paint tins with their lids off that contain no wet paint can be picked up using the free hard waste collection service."
Chemicals,paint stripper,dropoff,Can be dropped off for free at a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming locations visit Sustainability Victoria
Chemicals,paint thinner & turps,dropoff,Can be dropped off for free at a Detox your Home event. Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming locations visit Sustainability Victoria
Chemicals,pesticides,dropoff,Can be dropped off for free at a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming locations visit Sustainability Victoria
Chemicals,photographic chemicals,dropoff,Can be dropped off for free at a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming locations visit Sustainability Victoria
Chemicals,pool chemicals,dropoff,Can be dropped off for free at a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming locations visit Sustainability Victoria
Chemicals,rat poison,dropoff,Can be dropped off for free at a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming locations visit Sustainability Victoria
Chemicals,smoke detectors,red,Put it in the red lid garbage bin. Smoke detectors are safe to place in the red lid garbage bin.
Chemicals,solvents,dropoff,Can be dropped off for free at a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming locations visitSustainability Victoria
Chemicals,"thermometer, mercury",dropoff,"Can be dropped off for free at a Detox your Home event. For a list of upcoming Detox Your Home events, visitSustainability Victoria. To get advance notice subscribe to theRethink Your Rubbishmonthly update. Find out how to clean up mercury spills in your home at the EPA Victoria website."
Chemicals,transmission fluid,dropoff,Can be dropped off for free at a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming locations visitSustainability Victoria
Chemicals,wood preservatives,dropoff,Can be dropped off for free at a Detox your Home event.   Detox your Home events usually occur once or twice a year in Geelong.  To get advance notice subscribe to theRethink Your Rubbishmonthly update.  For a list of upcoming locations visitSustainability Victoria
E-Waste,air conditioners,dropoff,Air conditionersare classified as e-waste and can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres.  Air conditioners are one of the household waste items residents are able to have picked up from their property. For more details on booking and what items can be included visit the hard waste page. All air conditioners are placed aside for correct removal of gasses by certified plumbers before being recycled. It's easy to take your e-waste to a better place.Find out more.
E-Waste,air fryers,dropoff," If the air fryer is still in good condition, contact your local op shop and ask them whether they will accept it or try selling it through an online marketplace. If the air fryer no longer works, you may be able to have it repaired by one of the local appliance repair businesses or repair cafes operating across Geelong. If repair is not an option the air fryer is an e-waste item and must therefore be dropped off at your local resource and recovery centre. This is a free service. Neverthrow an unwanted air fryer into your red, yellow or green bin for collection.  E-waste is a valuable source of precious metals that are recycled into new products. Visit theSustainability Victoria websiteto find out more."
E-Waste,amplifiers,dropoff,"If the amplifier is still in good condition, contact your local op shop and ask them whether they will accept it or try selling it through an online marketplace. If the amplifier no longer works, you may be able to have it repaired through the business you purchased it from, or a specialist repairer. If repair is not an option the amplifier is an e-waste item and must therefore be dropped off at yourlocal resource and recovery centre. This is a free service. Neverthrow an unwanted amplifier into your red, yellow or green bin for collection.  Amplifiers can be dropped off for free at the Geelong or Drysdale Resource Recovery Centres. Take your e-waste to a better place. Find out more."
E-Waste,audio equipment,dropoff,"If the equipment is still in good condition, contact your local op shop and ask them whether they will accept it or try selling it through an online marketplace. If the equipment no longer works, you may be able to have it repaired through the business you purchased it through, or a specialist repairer. If repair is not an option the equipment is e-waste and should be dropped off at yourlocal resource and recovery centre. This is a free service. Neverthrow any unwanted audio equipment into your red, yellow or green bin for collection.  Audio equipment can be dropped off for free at theDrysdaleorGeelongResource Recovery Centres.  Take your e-waste to a better place.Find out more."
E-Waste,batteries,dropoff,"Household batteries are classified as e-waste and cannot be placed in any kerbside collection bins. Most batteries contain hazardous materials that can pollute the environment when disposed of in landfills or when thrown out elsewhere. They also cause fires in rubbish collection trucks. There are many locations you can safely dispose of your batteries in Geelong, see below for more information. Batteries can be dropped off for free at theDrysdaleorGeelongResource Recovery Centres. Alternatively:  ALDI,IGAandWoolworthsstores accept household batteries. Bunningsstores accept household batteries, as well as larger batteries from power tools. Any of our Customer Services Centresorthe Lara Library."
E-Waste,battery operated toys,dropoff,Battery operated toys are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,blenders,dropoff,Blenders including stick blenders are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,bread makers,dropoff,Bread Makers are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,cameras,dropoff,Cameras are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,cassette players,dropoff,Cassette players are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,cd players,dropoff,CD players are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,christmas fairy lights,dropoff,Christmas fairy lights are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at theDrysdaleorGeelongResource Recovery Centres. Take your e-waste to a better place.Find out more.
E-Waste,clothes dryers,dropoff,"If the clothes dryer is still in good condition, you could try selling or donating it through an online marketplace. If the clothes dryer no longer works, you may be able to have it repaired by one of the local appliance repair businesses operating across Geelong. Otherwise, clothes dryers are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place into the metal bin. Alternatively, residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page. Take your e-waste to a better place.Find out more."
E-Waste,coffee machines,dropoff,"If the coffee machine is still in good condition, contact your local op shop and ask them whether they will accept it or try selling or donating through an online marketplace. If the coffee machine no longer works, you may be able to have it repaired by one of the local appliance repair businesses or repair cafes operating across Geelong. If repair is not an option the air fryer is an e-waste item and must therefore be dropped off at yourlocal resource and recovery centre. This is a free service. Never place an unwanted coffee machine into your kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more."
E-Waste,computer equipment,dropoff,"Computer equipment including laptop computers, printers and scanners are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. It is good practice to factory reset your devices in the settings and remove any memory cards to protect your information."
E-Waste,desk phones,dropoff,Desk phones are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,dishwashers,dropoff,"Dishwashers are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Place in the metal bin. Take your e-waste to a better place. Find out more. Alternatively, residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
E-Waste,dvd players,dropoff,DVD players are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,e cigarettes (vapes),dropoff,"E cigarettes (vapes) must not be placed in any of your kerbside bins. If the battery can be removed safely it can be taken to one of many local battery drop off points. Hold onto vapes that cannot have the battery removed, or vapes that have had it removed, and check back on this page soon for updates on what to do with them.  Despite being a relatively new product, vapes are now one of the leading causes of truck, tip and recycling fires in Australia. Vapes are classified as e waste and cannot be placed in any kerbside recycling bin in Victoria. You can receive email updates on how to safely dispose of vapes, as well as other recycling tips by subscribing to Rethink Your Rubbish."
E-Waste,electric (power) tools,dropoff,"If the power tool no longer works, you may be able to have it repaired through the business you purchased it from, or a specialist repairer. If repair is not an option, the power tool is an e-waste item and must therefore be dropped off at yourlocal resource and recovery centre. This is a free service. Neverthrow an unwanted power tool into your red, yellow or green bin for collection. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more."
E-Waste,electric blankets,dropoff,Electric blankets are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdaleor Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,electric fans,dropoff,Electric fans are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,electric fryingpans,dropoff,Electric fryingpans are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,electric heaters,dropoff,Electric heaters are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,electric razors,dropoff,"  Drop-off your used electric razor and charger for free at one of our resource recovery centres.  Neverthrow unwantedused electric razors into your red, yellow or green bin for collection.  Electric razors contain hazardous materials that can ignite in landfill and cause environmental contamination."
E-Waste,electric toothbrushes,dropoff," Drop-off your used electric toothbrush and charger for free at one of our resource recovery centres. Organise a collection at your school, workplace or local club to fill a cardboard box with used electric toothbrushes and mail it to TerraCycle. Never throw unwantedused electric toothbrushes into your red, yellow or green bin for collection.  Electric toothbrushes contain hazardous materials that can ignite in landfill and cause environmental contamination. TerraCycle offers a Recycling Rewards Program for electric toothbrushes that can help you raise funds for your local school or charity. For more information, visit the TerraCycle website."
E-Waste,electric toy trains,dropoff,Electric toy trains are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,electrical wire and cables,dropoff,These items can be dropped off for free at the Geelong and Drysdale Resource Recovery Centres.
E-Waste,emergency position indicating radio beacon (epirb),dropoff,"Battery World have a battery recycling program that will accept EPIRBs for recycling. For more information, visit their website. Every year, thousands of dollars are spent in Australia searching for emergency beacons that have been inadvertently set off in landfill. Always dispose of your beacon responsibly and notify the Australia Maritime Safety Authorityonce it is no longer in your possession."
E-Waste,food processors,dropoff,Food processors are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,freezers,dropoff,"Freezers are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Allfreezers are placed aside for correct removal of gasses by certified plumbers before being recycling in metal bin. Take your e-waste to a better place. Find out more. Alternatively,residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
E-Waste,fridges,dropoff,"Fridges are classified as e-waste. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. All fridges are placed aside for correct removal of gasses by certified plumbers before being recycling in metal bin. Take your e-waste to a better place. Find out more. Alternatively,residents are now able to have their bulky household items picked up from their property. For more details on booking and what items can be included visit the hard waste page."
E-Waste,gaming consoles,dropoff,Gaming consoles are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,hairdryers,dropoff,Hairdryers are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,hand food mixers,dropoff,Hand food mixers are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
E-Waste,hand mixers,dropoff,Hand mixers are classified as e-waste and cannot be placed in any kerbside collection bins. They can be dropped off for free at the Drysdale or Geelong Resource Recovery Centres. Take your e-waste to a better place. Find out more.
